estimate,p.value,conf.low,conf.high,method,alternative,annotation,padj,log_or,log_ci.lo,log_ci.hi,direction,source,model
1.4557300792160266,1.2308116450136328e-7,1.270827842186884,1.66060625468034,Fisher's Exact Test for Count Data,two.sided,11_BivFlnk,8.909848321594933e-7,0.37550754743471465,0.23966853235396107,0.5071827493570306,Age-Hypermethylated,CHMM,eq3_age_signif
0.40517176045104025,1.425614453525078e-10,0.2862640930240508,0.5571831732595734,Fisher's Exact Test for Count Data,two.sided,12_EnhBiv,1.5681758988775858e-9,-0.9034442019014217,-1.250840492053812,-0.5848612362769618,Age-Hypermethylated,CHMM,eq3_age_signif
0.686799106082506,2.086488488840147e-14,0.6187822660123745,0.7604580419221679,Fisher's Exact Test for Count Data,two.sided,13_ReprPC,2.9210838843762057e-13,-0.3757134515285249,-0.48000181936814296,-0.27383434050478017,Age-Hypermethylated,CHMM,eq3_age_signif
0.44378627649338914,2.0293058233686645e-109,0.4086528853851185,0.48123720544189486,Fisher's Exact Test for Count Data,two.sided,14_ReprPCWk,4.261542229074196e-108,-0.8124121916895907,-0.8948891742713576,-0.7313949798283235,Age-Hypermethylated,CHMM,eq3_age_signif
0.5396676257139715,2.622672777649574e-116,0.5094213062778293,0.5713292935292633,Fisher's Exact Test for Count Data,two.sided,15_Quies,5.769880110829063e-115,-0.6168018368636814,-0.6744798910888,-0.5597895393531153,Age-Hypermethylated,CHMM,eq3_age_signif
1.9595913997372842,1.0073998282189572e-63,1.821958637504973,2.105502836176648,Fisher's Exact Test for Count Data,two.sided,2_TssAFlnk,2.0147996564379144e-62,0.6727359819878409,0.5999120968813816,0.7445543156513048,Age-Hypermethylated,CHMM,eq3_age_signif
4.540299286167381,7.58625381409727e-40,3.7449505480948257,5.46137809294969,Fisher's Exact Test for Count Data,two.sided,3_TxFlnk,1.3655256865375084e-38,1.5129929319437927,1.320408412100911,1.6977011558859367,Age-Hypermethylated,CHMM,eq3_age_signif
1.1898814665565498,7.59923309469711e-7,1.111280250422097,1.272857445203364,Fisher's Exact Test for Count Data,two.sided,4_Tx,4.559539856818266e-6,0.1738536942265657,0.10551272945260624,0.24126432996088357,Age-Hypermethylated,CHMM,eq3_age_signif
0.7908365511695843,9.729384859206777e-9,0.7269681931172391,0.8590430343042478,Fisher's Exact Test for Count Data,two.sided,5_TxWk,9.729384859206777e-8,-0.23466396825610553,-0.3188725532760875,-0.15193626011043765,Age-Hypermethylated,CHMM,eq3_age_signif
1.1892129710010861,0.07308483608360818,0.9800254299375637,1.4305845649514886,Fisher's Exact Test for Count Data,two.sided,6_EnhG,0.07308483608360818,0.17329171941589497,-0.02017675873830542,0.35808314742066727,Age-Hypermethylated,CHMM,eq3_age_signif
1.2914793669239226,1.7470781090048818e-5,1.1505328701730904,1.4453397406429764,Fisher's Exact Test for Count Data,two.sided,7_Enh,6.988312436019527e-5,0.25578835737033057,0.14022520042248243,0.36834440856109957,Age-Hypermethylated,CHMM,eq3_age_signif
0,3.208582482487581e-11,0,0.14693616042485477,Fisher's Exact Test for Count Data,two.sided,8_ZNF/Rpts,3.8502989789850974e-10,-Inf,-Inf,-1.9177570693556147,Age-Hypermethylated,CHMM,eq3_age_signif
0.37857823413519304,1.882982071100787e-8,0.24462224869397078,0.5599961320774274,Fisher's Exact Test for Count Data,two.sided,9_Het,1.6946838639907083e-7,-0.9713325322578789,-1.4080401003645227,-0.5798254022813896,Age-Hypermethylated,CHMM,eq3_age_signif
1.17780281140139,1.1137310401993666e-7,1.1091215597278394,1.249907520481712,Fisher's Exact Test for Count Data,two.sided,Promoter,8.909848321594933e-7,0.16365067851936296,0.10356831437916118,0.22306956496265679,Age-Hypermethylated,CHMM,eq3_age_signif
0.6497880839091064,1.5498047340714957e-19,0.5866716139243342,0.7179975570639738,Fisher's Exact Test for Count Data,two.sided,1_TssA,1.859765680885795e-18,-0.43110899400529984,-0.5332900468280357,-0.33128911235756486,Age-Hypomethylated,CHMM,eq3_age_signif
1.0413867123428127,0.453911094036908,0.9332984720901055,1.158834426955286,Fisher's Exact Test for Count Data,two.sided,10_TssBiv,0.5543632673214856,0.040553202247948915,-0.06903022351655962,0.14741469561507622,Age-Hypomethylated,CHMM,eq3_age_signif
0.4460701794647047,4.1506520189645304e-30,0.37833597350517717,0.5225691165688452,Fisher's Exact Test for Count Data,two.sided,11_BivFlnk,6.641043230343249e-29,-0.8072789862808912,-0.9719726593313117,-0.6489980233769305,Age-Hypomethylated,CHMM,eq3_age_signif
0.8676609168132464,0.06792782634315209,0.7403243986506002,1.0110531368498736,Fisher's Exact Test for Count Data,two.sided,12_EnhBiv,0.20378347902945626,-0.1419542894775852,-0.30066681228798614,0.010992497361302292,Age-Hypomethylated,CHMM,eq3_age_signif
0.7119949420541987,4.153107404841158e-24,0.6637285562631267,0.7629508100149409,Fisher's Exact Test for Count Data,two.sided,13_ReprPC,5.814350366777621e-23,-0.3396844714518563,-0.4098820138960776,-0.27056171895684944,Age-Hypomethylated,CHMM,eq3_age_signif
0.795417800504936,4.650194024334316e-26,0.7610691433323273,0.8310074467674649,Fisher's Exact Test for Count Data,two.sided,14_ReprPCWk,6.975291036501474e-25,-0.22888776714674458,-0.2730310667296664,-0.18511652295448788,Age-Hypomethylated,CHMM,eq3_age_signif
0.7417802824443831,1.173748172307294e-66,0.7160363001895901,0.7682821975681987,Fisher's Exact Test for Count Data,two.sided,15_Quies,2.347496344614588e-65,-0.298702194969616,-0.33402441471780847,-0.263598168575496,Age-Hypomethylated,CHMM,eq3_age_signif
0.8273264324154491,1.2055976529936594e-7,0.7689168123527526,0.8891228507103812,Fisher's Exact Test for Count Data,two.sided,2_TssAFlnk,7.233585917961957e-7,-0.18955594307827908,-0.2627724917223212,-0.11751986324010301,Age-Hypomethylated,CHMM,eq3_age_signif
2.423832515465568,3.746559537141466e-19,2.0248010684078857,2.8826672353088947,Fisher's Exact Test for Count Data,two.sided,3_TxFlnk,4.1212154908556124e-18,0.8853499715400671,0.7054714579095851,1.0587159889313456,Age-Hypomethylated,CHMM,eq3_age_signif
2.3090601605829617,0,2.2245361212214285,2.3962901748854435,Fisher's Exact Test for Count Data,two.sided,4_Tx,0,0.8368405848544885,0.7995484090379155,0.8739217809692317,Age-Hypomethylated,CHMM,eq3_age_signif
1.5423658853112747,8.966421068723608e-76,1.4757500906219596,1.6114775355049333,Fisher's Exact Test for Count Data,two.sided,5_TxWk,1.8829484244319577e-74,0.4333175267037578,0.3891663965460524,0.47715148206134994,Age-Hypomethylated,CHMM,eq3_age_signif
2.706831628344021,3.0369271033299795e-80,2.4676382616663366,2.9642302415073702,Fisher's Exact Test for Count Data,two.sided,6_EnhG,6.681239627325955e-79,0.9957788100808386,0.90326152385249725,1.0866173837379334,Age-Hypomethylated,CHMM,eq3_age_signif
1.6752661972636862,3.208840516108651e-41,1.5598465102984567,1.7972329344758884,Fisher's Exact Test for Count Data,two.sided,7_Enh,5.7759129289955716e-40,0.5159720763895043,0.4445874255864274,0.5862482234832439,Age-Hypomethylated,CHMM,eq3_age_signif
0.3355802153778176,4.427579435504796e-8,0.19828527003987334,0.5323793995174996,Fisher's Exact Test for Count Data,two.sided,8_ZNF/Rpts,3.0993056048533573e-7,-1.0918942591131222,-1.6180485274061258,-0.6303988868283186,Age-Hypomethylated,CHMM,eq3_age_signif
0.9016669759973261,0.2771816336607428,0.7480564619016287,1.0782133880288753,Fisher's Exact Test for Count Data,two.sided,9_Het,0.5543632673214856,-0.10351003330429728,-0.29027682003071364,0.0753054009764036,Age-Hypomethylated,CHMM,eq3_age_signif
0.7406618736533485,2.477888578125649e-35,0.7045987922074808,0.7781762941769198,Fisher's Exact Test for Count Data,two.sided,Promoter,4.212410582813603e-34,-0.30021106868671094,-0.3501267272299166,-0.2508021812743405,Age-Hypomethylated,CHMM,eq3_age_signif
1.1786164291108012,8.945471460959582e-7,1.1042514036513102,1.2569366861342874,Fisher's Exact Test for Count Data,two.sided,5_TxWk,8.050924314863624e-6,0.1643412328381831,0.09916764262913147,0.22867755931352407,Age-Hypermethylated,CHMM,Eq3 Age Significant
